rate_eps_input,batches_used,throughput_eps_mean,throughput_eps_p95,lat_mean_ms_avg,lat_p50_ms_avg,lat_p95_ms_avg,lat_p99_ms_avg,lat_p95_ms_max
1000,48,1209.6458333333333,1001.13,3093.1520755586757,3068.2291666666665,5756.5625,6115.9375,42674.0
5000,48,4973.879166666667,5002.849999999999,2514.3223832244994,2489.125,4705.229166666667,5000.604166666667,4771.0
7000,48,6914.704166666667,7011.18,2530.833840873676,2509.2083333333335,4704.104166666667,4999.645833333333,4882.0
8000,38,9045.568421052632,11374.339999999987,48675.82113094615,48723.86842105263,51183.47368421053,51605.07894736842,89896.0
10000,42,6360.409523809524,8533.489999999998,95679.06858460505,95585.16666666667,97500.09523809524,97989.88095238095,126715.0
